class,count
playing hammond organ,50
parrot talking,50
basketball bounce,50
car passing by,50
rapping,50
playing acoustic guitar,50
male singing,50
alarm clock ringing,50
playing synthesizer,50
striking bowling,50
playing bagpipes,50
people slurping,50
playing vibraphone,50
orchestra,50
hail,50
blowtorch igniting,50
playing electronic organ,50
playing timpani,50
people slapping,50
people humming,50
bowling impact,50
wind rustling leaves,50
helicopter,50
goose honking,50
horse clip-clop,50
wood thrush calling,50
people coughing,50
cat growling,50
playing harp,50
driving snowmobile,50
"heart sounds, heartbeat",50
playing steelpan,50
cuckoo bird calling,50
"donkey, ass braying",50
"engine accelerating, revving, vroom",50
raining,50
playing washboard,50
firing cannon,50
cheetah chirrup,50
playing theremin,50
people giggling,50
rope skipping,50
disc scratching,50
stream burbling,50
cricket chirping,50
mouse pattering,50
people sniggering,50
typing on computer keyboard,50
sailing,50
duck quacking,50
police car (siren),50
playing badminton,50
running electric fan,50
playing french horn,50
pumping water,50
singing bowl,50
ripping paper,50
telephone bell ringing,50
machine gun shooting,50
ferret dooking,50
toilet flushing,50
yodelling,50
people cheering,50
snake hissing,50
playing tuning fork,50
striking pool,50
tapping guitar,50
baby laughter,50
lathe spinning,50
police radio chatter,50
hair dryer drying,50
playing gong,50
"ice cream truck, ice cream van",50
bull bellowing,50
dog baying,50
playing piano,50
barn swallow calling,50
wind noise,50
playing harpsichord,50
metronome,50
"alligators, crocodiles hissing",50
spraying water,50
typing on typewriter,50
sharpen knife,50
bouncing on trampoline,50
playing sitar,50
playing flute,50
people sneezing,50
thunder,50
eating with cutlery,50
cattle mooing,50
fireworks banging,50
"motorboat, speedboat acceleration",50
horse neighing,50
arc welding,50
"fly, housefly buzzing",50
playing clarinet,50
"race car, auto racing",50
volcano explosion,50
printer printing,50
playing guiro,50
lawn mowing,50
planing timber,50
chainsawing trees,50
playing harmonica,50
chimpanzee pant-hooting,50
dog barking,50
ice cracking,50
car engine idling,50
dinosaurs bellowing,50
civil defense siren,50
people whistling,50
canary calling,50
mouse clicking,50
bird wings flapping,50
shot football,50
playing banjo,50
baltimore oriole calling,50
lighting firecrackers,50
people eating apple,50
playing bongo,50
warbler chirping,50
playing zither,50
"female speech, woman speaking",50
underwater bubbling,50
playing squash,50
woodpecker pecking tree,50
scuba diving,50
driving buses,50
skateboarding,50
cupboard opening or closing,50
playing electric guitar,50
train wheels squealing,50
cat hissing,50
people booing,50
fire crackling,50
ocean burbling,50
"electric shaver, electric razor shaving",50
opening or closing drawers,50
playing double bass,50
playing volleyball,50
owl hooting,50
crow cawing,50
golf driving,50
driving motorcycle,50
cow lowing,50
chicken crowing,50
reversing beeps,50
cat meowing,50
mynah bird singing,50
playing bass guitar,50
chipmunk chirping,50
sloshing water,50
elephant trumpeting,50
people hiccup,50
playing tympani,50
people eating,50
using sewing machines,50
cat purring,50
playing bassoon,50
slot machine,50
playing darts,50
otter growling,50
playing ukulele,50
baby crying,50
popping popcorn,50
playing congas,50
playing trumpet,50
frog croaking,50
dog bow-wow,50
skidding,50
playing mandolin,50
playing accordion,50
people screaming,50
sliding door,50
magpie calling,50
people clapping,50
people finger snapping,50
"pigeon, dove cooing",50
"bird chirping, tweeting",50
playing didgeridoo,50
people battle cry,50
tap dancing,50
playing shofar,50
opening or closing car electric windows,50
playing tennis,50
cat caterwauling,50
roller coaster running,50
bathroom ventilation fan running,50
train whistling,50
dog whimpering,50
"rowboat, canoe, kayak rowing",50
smoke detector beeping,50
playing bass drum,50
car engine starting,50
playing cymbal,50
train horning,50
"child speech, kid speaking",50
fox barking,50
playing erhu,50
dog howling,50
footsteps on snow,50
splashing water,50
plastic bottle crushing,50
people whispering,50
bird squawking,50
people running,50
"male speech, man speaking",50
people babbling,50
playing table tennis,50
missile launch,50
electric grinder grinding,50
playing glockenspiel,50
eagle screaming,50
firing muskets,50
people farting,50
chicken clucking,50
goat bleating,50
people burping,50
lip smacking,50
airplane,50
lions roaring,50
cutting hair with electric trimmers,50
lions growling,50
"playing violin, fiddle",50
playing cello,50
airplane flyby,50
air horn,50
fire truck siren,50
hedge trimmer running,50
mosquito buzzing,50
people shuffling,50
vacuum cleaner cleaning floors,50
"playing marimba, xylophone",50
foghorn,50
waterfall burbling,50
sea lion barking,50
"vehicle horn, car horn, honking",50
pheasant crowing,50
playing bugle,50
coyote howling,50
"subway, metro, underground",50
writing on blackboard with chalk,50
playing djembe,50
playing cornet,50
elk bugling,50
turkey gobbling,50
people sobbing,50
tornado roaring,50
church bell ringing,50
people eating noodle,50
snake rattling,50
people eating crisps,50
sheep bleating,50
people nose blowing,50
playing saxophone,50
pig oinking,50
chopping food,50
people belly laughing,50
air conditioning noise,50
squishing water,50
whale calling,50
singing choir,50
mouse squeaking,50
skiing,50
eletric blender running,50
car engine knocking,50
cap gun shooting,50
ambulance siren,50
francolin calling,50
strike lighter,50
playing tabla,50
playing tambourine,50
people crowd,50
zebra braying,50
door slamming,50
child singing,50
cell phone buzzing,50
wind chime,50
baby babbling,50
"bee, wasp, etc. buzzing",50
playing snare drum,50
penguins braying,50
playing lacrosse,50
tractor digging,50
children shouting,50
beat boxing,50
opening or closing car doors,50
playing hockey,50
people gargling,50
playing timbales,50
chinchilla barking,50
people marching,50
"cattle, bovinae cowbell",50
forging swords,50
playing drum kit,50
swimming,50
"railroad car, train wagon",50
"playing steel guitar, slide guitar",50
female singing,50
playing trombone,50
black capped chickadee calling,50
dog growling,50
hammering nails,50
chopping wood,50
playing castanets,49
sea waves,49
playing oboe,49
gibbon howling,49
