video_id,class_name,label,frame_folder,num_frames
6jiO0tPLK7U_000090,basketball bounce,0,data/frames/6jiO0tPLK7U_000090,8
cRlp5v9BHeE_000011,car passing by,1,data/frames/cRlp5v9BHeE_000011,8
asKuYgAcyIk_000030,car passing by,1,data/frames/asKuYgAcyIk_000030,8
hO7Y77gKIMo_000150,raining,7,data/frames/hO7Y77gKIMo_000150,8
fYhJdb8ka3k_000030,typing on computer keyboard,9,data/frames/fYhJdb8ka3k_000030,8
oeNMiCqg9JA_000106,ripping paper,8,data/frames/oeNMiCqg9JA_000106,7
1NkUBIl2Plw_000030,raining,7,data/frames/1NkUBIl2Plw_000030,8
PuvTDLP8lwM_000030,typing on computer keyboard,9,data/frames/PuvTDLP8lwM_000030,8
1MP3sQTk8wo_000000,dog barking,2,data/frames/1MP3sQTk8wo_000000,8
HgSqmsr5GOQ_000030,fire crackling,4,data/frames/HgSqmsr5GOQ_000030,8
QJDLZ53UsLk_000320,car passing by,1,data/frames/QJDLZ53UsLk_000320,8
ktLR-WjB_C8_000044,ripping paper,8,data/frames/ktLR-WjB_C8_000044,7
rXU4vJ4Rz4A_000032,footsteps on snow,5,data/frames/rXU4vJ4Rz4A_000032,6
vyYpxGJr7zI_000030,dog barking,2,data/frames/vyYpxGJr7zI_000030,8
ABs3qGwvW-U_000020,basketball bounce,0,data/frames/ABs3qGwvW-U_000020,8
3NRu3vNRFxU_000000,dog barking,2,data/frames/3NRu3vNRFxU_000000,8
g3eW5ca-DKw_000030,raining,7,data/frames/g3eW5ca-DKw_000030,8
xC-FE1l3Cxs_000368,footsteps on snow,5,data/frames/xC-FE1l3Cxs_000368,8
AvEJZqK2G1A_000030,basketball bounce,0,data/frames/AvEJZqK2G1A_000030,8
7Qtr6D2TWBE_000350,typing on computer keyboard,9,data/frames/7Qtr6D2TWBE_000350,8
EeGWe8e_2jg_000030,dog barking,2,data/frames/EeGWe8e_2jg_000030,8
V3srC9WNp4c_000030,door slamming,3,data/frames/V3srC9WNp4c_000030,8
j42FvbZ2jjE_000851,ripping paper,8,data/frames/j42FvbZ2jjE_000851,7
dfwr8wgZU8M_000040,car passing by,1,data/frames/dfwr8wgZU8M_000040,8
yRBKGI1DjXc_000411,footsteps on snow,5,data/frames/yRBKGI1DjXc_000411,8
1B-RuZgSqf8_000030,raining,7,data/frames/1B-RuZgSqf8_000030,8
B98yOZSj2GE_000012,car passing by,1,data/frames/B98yOZSj2GE_000012,8
0B7fwvTtvLM_000000,basketball bounce,0,data/frames/0B7fwvTtvLM_000000,8
j-bxcM-JXx4_000000,door slamming,3,data/frames/j-bxcM-JXx4_000000,8
ZqwS3tAXyAg_000450,basketball bounce,0,data/frames/ZqwS3tAXyAg_000450,8
6Y3YoMGHufc_000340,typing on computer keyboard,9,data/frames/6Y3YoMGHufc_000340,8
dtjPWoaOz60_000450,ripping paper,8,data/frames/dtjPWoaOz60_000450,7
dySzuSBqPnE_000040,ripping paper,8,data/frames/dySzuSBqPnE_000040,8
LtYJXKeUMXA_000000,door slamming,3,data/frames/LtYJXKeUMXA_000000,8
hkr8KzMLwDA_000500,typing on computer keyboard,9,data/frames/hkr8KzMLwDA_000500,8
AL-dutJvx0s_000030,typing on computer keyboard,9,data/frames/AL-dutJvx0s_000030,8
2LtEPWwp36E_000052,footsteps on snow,5,data/frames/2LtEPWwp36E_000052,8
akjMGNYTAdA_000030,fire crackling,4,data/frames/akjMGNYTAdA_000030,8
A-QYRlK7cd8_000030,raining,7,data/frames/A-QYRlK7cd8_000030,8
HZf02v6DyyY_000030,fire crackling,4,data/frames/HZf02v6DyyY_000030,8
fNNhE0Cz2QY_000000,door slamming,3,data/frames/fNNhE0Cz2QY_000000,8
ux7HhOxMRE4_000020,dog barking,2,data/frames/ux7HhOxMRE4_000020,8
gm7VuxbyNkw_000835,ripping paper,8,data/frames/gm7VuxbyNkw_000835,7
O7oqO7fqmVs_000539,ripping paper,8,data/frames/O7oqO7fqmVs_000539,8
FIktp5ggvX4_000010,dog barking,2,data/frames/FIktp5ggvX4_000010,8
BhI1wTFc6KU_000000,door slamming,3,data/frames/BhI1wTFc6KU_000000,8
YWAchXE2HqQ_000005,fire crackling,4,data/frames/YWAchXE2HqQ_000005,8
