video_id,class_name,label,frame_folder,num_frames
U_qOjkaHjPI_000000,car passing by,1,data/frames/U_qOjkaHjPI_000000,8
ss-QmKzI9l4_000030,door slamming,3,data/frames/ss-QmKzI9l4_000030,8
dufRvpDEZS8_000380,raining,7,data/frames/dufRvpDEZS8_000380,8
2t8rYnARZuI_000030,raining,7,data/frames/2t8rYnARZuI_000030,8
DF0AL3gaNLQ_000030,raining,7,data/frames/DF0AL3gaNLQ_000030,8
mDhMhpU2ttE_000101,ripping paper,8,data/frames/mDhMhpU2ttE_000101,8
EWemthMZDkM_000166,hammering nails,6,data/frames/EWemthMZDkM_000166,8
hl4CItu_we8_000000,door slamming,3,data/frames/hl4CItu_we8_000000,8
yCMy14iNKzQ_000097,footsteps on snow,5,data/frames/yCMy14iNKzQ_000097,8
Fxl4CpEjcQU_000008,fire crackling,4,data/frames/Fxl4CpEjcQU_000008,8
6sfjS8pGgjM_000030,fire crackling,4,data/frames/6sfjS8pGgjM_000030,8
8nGXZHZHi9I_000066,footsteps on snow,5,data/frames/8nGXZHZHi9I_000066,8
_8A132_-BJQ_000030,fire crackling,4,data/frames/_8A132_-BJQ_000030,8
NmjotvipT-w_000010,raining,7,data/frames/NmjotvipT-w_000010,8
VulCKZgWspc_000080,car passing by,1,data/frames/VulCKZgWspc_000080,8
9ppa4lXXspA_000030,dog barking,2,data/frames/9ppa4lXXspA_000030,8
kv335KZ0ZR8_000030,basketball bounce,0,data/frames/kv335KZ0ZR8_000030,8
mgihmWi364U_000080,typing on computer keyboard,9,data/frames/mgihmWi364U_000080,8
KydSULgAHFI_000060,footsteps on snow,5,data/frames/KydSULgAHFI_000060,8
3A39m83VhUA_000294,hammering nails,6,data/frames/3A39m83VhUA_000294,6
AL-dutJvx0s_000030,typing on computer keyboard,9,data/frames/AL-dutJvx0s_000030,8
xRAj37jqdT0_000082,hammering nails,6,data/frames/xRAj37jqdT0_000082,7
iyroRIRrXUw_000090,typing on computer keyboard,9,data/frames/iyroRIRrXUw_000090,8
fNNhE0Cz2QY_000000,door slamming,3,data/frames/fNNhE0Cz2QY_000000,8
FzgCq9oAXGk_000000,basketball bounce,0,data/frames/FzgCq9oAXGk_000000,8
KdBwrU3jrHw_000613,ripping paper,8,data/frames/KdBwrU3jrHw_000613,8
OwbF9baVlN4_000264,hammering nails,6,data/frames/OwbF9baVlN4_000264,7
DoOWPaSuumI_000458,footsteps on snow,5,data/frames/DoOWPaSuumI_000458,7
Z5QU8D9hhQA_000010,footsteps on snow,5,data/frames/Z5QU8D9hhQA_000010,8
NuD6d2B3QvA_000550,dog barking,2,data/frames/NuD6d2B3QvA_000550,8
